route_name,pickup_point,dropoff_point,date,slot1,slot2,slot3,slot4,slot5,slot6
Ha Dong,Linh Nam,Buv Campus,,08:00,10:00,11:00,12:00,14:00,
Ha Dong,Buv Campus,634 Linh Nam ,,11:30,12:30,13:30,15:15,17:35,18:15
Ha Dong,Buv Campus,Muong Thanh Grand Hotel,,11:30,12:30,13:30,15:15,17:35,18:15
Ha Dong,Buv Campus,Old Thanh Xuan Department Store,,11:30,12:30,13:30,15:15,17:35,18:15
Ha Dong,Buv Campus,Ho Guom Plaza,,11:30,12:30,13:30,15:15,17:35,18:15
Ha Dong,634 Linh Nam ,Muong Thanh Grand Hotel,,11:50,12:50,13:50,15:35,17:55,18:35
Ha Dong,634 Linh Nam ,Old Thanh Xuan Department Store,,11:50,12:50,13:50,15:35,17:55,18:35
Ha Dong,634 Linh Nam ,Ho Guom Plaza,,11:50,12:50,13:50,15:35,17:55,18:35
Ha Dong,Muong Thanh Grand Hotel,Old Thanh Xuan Department Store,,12:00,13:00,14:00,15:45,18:05,18:45
Ha Dong,Muong Thanh Grand Hotel,Ho Guom Plaza,,12:00,13:00,14:00,15:45,18:05,18:45
Ha Dong,Old Thanh Xuan Department Store,Ho Guom Plaza,,12:10,13:10,14:10,15:55,18:15,18:55
Ecopark,Sky Oasis,Sol Forest & Haven Park,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sky Oasis,Landmark,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sky Oasis,Swanlake,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sky Oasis,Westbay –  B Building,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sky Oasis,Westbay – C Building,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sky Oasis,Aquabay – Sky 2 Building,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sky Oasis,Aquabay – Park 1 Building,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sky Oasis,Buv Campus,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sol Forest & Haven Park,Landmark,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sol Forest & Haven Park,Swanlake,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sol Forest & Haven Park,Westbay –  B Building,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sol Forest & Haven Park,Westbay – C Building,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sol Forest & Haven Park,Aquabay – Sky 2 Building,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sol Forest & Haven Park,Aquabay – Park 1 Building,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Sol Forest & Haven Park,Buv Campus,,08:28,10:28,11:28,12:43,14:18,
Ecopark,Landmark,Swanlake,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Landmark,Westbay –  B Building,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Landmark,Westbay – C Building,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Landmark,Aquabay – Sky 2 Building,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Landmark,Aquabay – Park 1 Building,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Landmark,Buv Campus,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Swanlake,Westbay –  B Building,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Swanlake,Westbay – C Building,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Swanlake,Aquabay – Sky 2 Building,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Swanlake,Aquabay – Park 1 Building,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Swanlake,Buv Campus,,08:30,10:30,11:30,12:45,14:20,
Ecopark,Westbay –  B Building,Westbay – C Building,,08:31,10:31,11:31,12:46,14:21,
Ecopark,Westbay –  B Building,Aquabay – Sky 2 Building,,08:31,10:31,11:31,12:46,14:21,
Ecopark,Westbay –  B Building,Aquabay – Park 1 Building,,08:31,10:31,11:31,12:46,14:21,
Ecopark,Westbay –  B Building,Buv Campus,,08:31,10:31,11:31,12:46,14:21,
Ecopark,Westbay – C Building,Aquabay – Sky 2 Building,,08:31,10:31,11:31,12:46,14:21,
Ecopark,Westbay – C Building,Aquabay – Park 1 Building,,08:31,10:31,11:31,12:46,14:21,
Ecopark,Westbay – C Building,Buv Campus,,08:31,10:31,11:31,12:46,14:21,
Ecopark,Aquabay – Sky 2 Building,Aquabay – Park 1 Building,,08:34,10:34,11:34,12:49,14:24,
Ecopark,Aquabay – Sky 2 Building,Buv Campus,,08:34,10:34,11:34,12:49,14:24,
Ecopark,Aquabay – Park 1 Building,Buv Campus,,08:34,10:34,11:34,12:49,14:24,
Ecopark,Buv Campus,Sky Oasis,,11:30,12:30,13:30,15:15,17:35,18:15
Ecopark,Buv Campus,Sol Forest & Haven Park,,11:30,12:30,13:30,15:15,17:35,18:15
Ecopark,Buv Campus,Landmark,,11:30,12:30,13:30,15:15,17:35,18:15
Ecopark,Buv Campus,Swanlake,,11:30,12:30,13:30,15:15,17:35,18:15
Ecopark,Buv Campus,Westbay – B Building,,11:30,12:30,13:30,15:15,17:35,18:15
Ecopark,Buv Campus,Westbay – C Building,,11:30,12:30,13:30,15:15,17:35,18:15
Ecopark,Buv Campus,Aquabay –  Sky 2 Building ,,11:30,12:30,13:30,15:15,17:35,18:15
Ecopark,Buv Campus,Aquabay – Park 1 Building,,11:30,12:30,13:30,15:15,17:35,18:15
Ecopark,Sky Oasis,Sol Forest & Haven Park,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sky Oasis,Landmark,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sky Oasis,Swanlake,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sky Oasis,Westbay – B Building,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sky Oasis,Westbay – C Building,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sky Oasis,Aquabay –  Sky 2 Building ,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sky Oasis,Aquabay – Park 1 Building,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sol Forest & Haven Park,Landmark,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sol Forest & Haven Park,Swanlake,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sol Forest & Haven Park,Westbay – B Building,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sol Forest & Haven Park,Westbay – C Building,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sol Forest & Haven Park,Aquabay –  Sky 2 Building ,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Sol Forest & Haven Park,Aquabay – Park 1 Building,,11:33,12:33,13:33,15:18,17:38,18:18
Ecopark,Landmark,Swanlake,,11:35,12:35,13:35,15:20,17:40,18:20
Ecopark,Landmark,Westbay – B Building,,11:35,12:35,13:35,15:20,17:40,18:20
Ecopark,Landmark,Westbay – C Building,,11:35,12:35,13:35,15:20,17:40,18:20
Ecopark,Landmark,Aquabay –  Sky 2 Building ,,11:35,12:35,13:35,15:20,17:40,18:20
Ecopark,Landmark,Aquabay – Park 1 Building,,11:35,12:35,13:35,15:20,17:40,18:20
Ecopark,Swanlake,Westbay – B Building,,11:35,12:35,13:35,15:20,17:40,18:20
Ecopark,Swanlake,Westbay – C Building,,11:35,12:35,13:35,15:20,17:40,18:20
Ecopark,Swanlake,Aquabay –  Sky 2 Building ,,11:35,12:35,13:35,15:20,17:40,18:20
Ecopark,Swanlake,Aquabay – Park 1 Building,,11:35,12:35,13:35,15:20,17:40,18:20
Ecopark,Westbay – B Building,Westbay – C Building,,11:36,12:36,13:36,15:21,17:41,18:21
Ecopark,Westbay – B Building,Aquabay –  Sky 2 Building ,,11:36,12:36,13:36,15:21,17:41,18:21
Ecopark,Westbay – B Building,Aquabay – Park 1 Building,,11:36,12:36,13:36,15:21,17:41,18:21
Ecopark,Westbay – C Building,Aquabay –  Sky 2 Building ,,11:36,12:36,13:36,15:21,17:41,18:21
Ecopark,Westbay – C Building,Aquabay – Park 1 Building,,11:36,12:36,13:36,15:21,17:41,18:21
Ecopark,Aquabay –  Sky 2 Building ,Aquabay – Park 1 Building,,11:42,12:42,13:42,15:27,17:47,18:27
